Año de Año,Subclasificación,Cálculo1
2005,(c) C.F.T.,7845
2006,(c) C.F.T.,8106
2007,(c) C.F.T.,8573
2008,(c) C.F.T.,10094
2009,(c) C.F.T.,11694
2010,(c) C.F.T.,14636
2011,(c) C.F.T.,16953
2012,(c) C.F.T.,16636
2013,(c) C.F.T.,17230
2014,(c) C.F.T.,18639
2015,(c) C.F.T.,17206
2016,(c) C.F.T.,14762
2017,(c) C.F.T.,12745
2018,(c) C.F.T.,11491
2019,(c) C.F.T.,11031
2005,(b) I.P.,21914
2006,(b) I.P.,22625
2007,(b) I.P.,24674
2008,(b) I.P.,27188
2009,(b) I.P.,30587
2010,(b) I.P.,36134
2011,(b) I.P.,42075
2012,(b) I.P.,47409
2013,(b) I.P.,56026
2014,(b) I.P.,63143
2015,(b) I.P.,68856
2016,(b) I.P.,70065
2017,(b) I.P.,67679
2018,(b) I.P.,68577
2019,(b) I.P.,72395
2005,(a) Univ.,41246
2006,(a) Univ.,43983
2007,(a) Univ.,45013
2008,(a) Univ.,45770
2009,(a) Univ.,48146
2010,(a) Univ.,50143
2011,(a) Univ.,53506
2012,(a) Univ.,56114
2013,(a) Univ.,59867
2014,(a) Univ.,60473
2015,(a) Univ.,61415
2016,(a) Univ.,60962
2017,(a) Univ.,60995
2018,(a) Univ.,61159
2019,(a) Univ.,60199
