CRUCH,Programas,Año,Cálculo1,Nombre Región,Matrícula total,Matrícula primer año,Área Conocimiento,Nombre Carrera,Tipo Título,Tipo título,Horario,NombreComuna,Nombre Institución,NombreRegion,Matrícula primer año hombres,Matrícula primer año mujeres,Matrícula total hombres,Matrícula total mujeres,anio,tRegion1_NombreRegion
Privada,1,01/01/2008,511,Región Metropolitana,511,172,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,150,22,459,52,2008,Región Metropolitana
Privada,1,01/01/2008,80,Región Metropolitana,80,25,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,21,4,64,16,2008,Región Metropolitana
Privada,1,01/01/2008,204,Región Metropolitana,204,62,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Vespertino,Santiago,U. ANDRÉS BELLO,Región Metropolitana,55,7,187,17,2008,Región Metropolitana
Privada,1,01/01/2014,421,Región Metropolitana,421,144,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,130,14,382,39,2014,Región Metropolitana
Privada,1,01/01/2014,35,Región Metropolitana,35,2,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,2,0,29,6,2014,Región Metropolitana
Privada,1,01/01/2012,394,Región Metropolitana,394,111,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,101,10,361,33,2012,Región Metropolitana
Privada,1,01/01/2013,398,Región Metropolitana,398,143,Tecnología,Ingeniería en Computación e Informática y similares,Profesional con Licenciatura,Pregrado,Diurno,Santiago,U. ANDRÉS BELLO,Región Metropolitana,127,16,362,36,2013,Región Metropolitana
Privada,1,01/01/2008,46,Región Metropolitana,46,0,Tecnología,Técnico en Análisis de Sistemas Informáticos,Técnico Nivel Superior,Pregrado,Vespertino,La Florida,I.P. DUOC UC,Región Metropolitana,0,0,42,4,2008,Región Metropolitana
Consejo rectores,1,01/01/2005,427,Región Metropolitana,427,86,Tecnología,Ingeniería Civil en Computación y/o Informática,Profesional con Licenciatura,Pregrado,Diurno,,U. DE SANTIAGO DE CHILE,,79,7,361,66,2005,Región Metropolitana
Privada,1,01/01/2007,70,Región Metropolitana,70,42,Tecnología,Ingeniería en Computación e Informática y similares,Profesional,Pregrado,Vespertino,Macul,I.P. PROVIDENCIA,Región Metropolitana,35,7,61,9,2007,Región Metropolitana
